model,prompt,skill,n_missing,acc_S
deepseek-chat,combined,Operations & Algebraic Thinking,2,0.6527777777777778
deepseek-chat,combined,Operations & Algebraic Thinking,3,0.6333333333333333
deepseek-chat,combined,Operations & Algebraic Thinking,4,0.5833333333333334
deepseek-chat,few_shot,Measurement & Data,1,0.9615384615384615
deepseek-chat,few_shot,Measurement & Data,2,0.9615384615384616
deepseek-chat,few_shot,Measurement & Data,3,0.958974358974359
deepseek-chat,few_shot,Measurement & Data,4,0.9615384615384616
deepseek-chat,few_shot,Number & Operations in Base Ten,1,0.8880000000000001
deepseek-chat,few_shot,Number & Operations in Base Ten,2,0.9253333333333333
deepseek-chat,few_shot,Number & Operations in Base Ten,3,0.9093333333333333
deepseek-chat,few_shot,Number & Operations in Base Ten,4,0.88
deepseek-chat,few_shot,Number & Operations—Fractions,1,0.9583333333333334
deepseek-chat,few_shot,Number & Operations—Fractions,2,0.9305555555555556
deepseek-chat,few_shot,Number & Operations—Fractions,3,0.9194444444444444
deepseek-chat,few_shot,Number & Operations—Fractions,4,0.9583333333333334
deepseek-chat,few_shot,Operations & Algebraic Thinking,1,0.8333333333333334
deepseek-chat,few_shot,Operations & Algebraic Thinking,2,0.8027777777777778
deepseek-chat,few_shot,Operations & Algebraic Thinking,3,0.8194444444444444
deepseek-chat,few_shot,Operations & Algebraic Thinking,4,0.7916666666666666
deepseek-chat,rule_based,Measurement & Data,1,0.7538461538461538
deepseek-chat,rule_based,Measurement & Data,2,0.7615384615384616
deepseek-chat,rule_based,Measurement & Data,3,0.7358974358974358
deepseek-chat,rule_based,Measurement & Data,4,0.6153846153846154
deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.76
deepseek-chat,rule_based,Number & Operations in Base Ten,2,0.8186666666666668
deepseek-chat,rule_based,Number & Operations in Base Ten,3,0.8106666666666666
deepseek-chat,rule_based,Number & Operations in Base Ten,4,0.6
deepseek-chat,rule_based,Number & Operations—Fractions,1,0.95
deepseek-chat,rule_based,Number & Operations—Fractions,2,0.9166666666666666
deepseek-chat,rule_based,Number & Operations—Fractions,3,0.8777777777777778
deepseek-chat,rule_based,Number & Operations—Fractions,4,0.75
deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.4333333333333333
deepseek-chat,rule_based,Operations & Algebraic Thinking,2,0.3777777777777778
deepseek-chat,rule_based,Operations & Algebraic Thinking,3,0.3416666666666667
deepseek-chat,rule_based,Operations & Algebraic Thinking,4,0.16666666666666666
gpt-4o,combined,Measurement & Data,1,0.16153846153846155
gpt-4o,combined,Measurement & Data,2,0.16923076923076924
gpt-4o,combined,Measurement & Data,3,0.1948717948717949
gpt-4o,combined,Measurement & Data,4,0.23076923076923078
gpt-4o,combined,Number & Operations in Base Ten,1,0.336
gpt-4o,combined,Number & Operations in Base Ten,2,0.23466666666666666
gpt-4o,combined,Number & Operations in Base Ten,3,0.16266666666666665
gpt-4o,combined,Number & Operations in Base Ten,4,0.2
gpt-4o,combined,Number & Operations—Fractions,1,0.2916666666666667
gpt-4o,combined,Number & Operations—Fractions,2,0.3111111111111111
gpt-4o,combined,Number & Operations—Fractions,3,0.24444444444444444
gpt-4o,combined,Number & Operations—Fractions,4,0.16666666666666666
gpt-4o,combined,Operations & Algebraic Thinking,1,0.23333333333333334
gpt-4o,combined,Operations & Algebraic Thinking,2,0.1472222222222222
gpt-4o,combined,Operations & Algebraic Thinking,3,0.1638888888888889
gpt-4o,combined,Operations & Algebraic Thinking,4,0.16666666666666666
gpt-4o,few_shot,Measurement & Data,1,0.5076923076923077
gpt-4o,few_shot,Measurement & Data,2,0.5025641025641026
gpt-4o,few_shot,Measurement & Data,3,0.4794871794871795
gpt-4o,few_shot,Measurement & Data,4,0.5384615384615384
gpt-4o,few_shot,Number & Operations in Base Ten,1,0.472
gpt-4o,few_shot,Number & Operations in Base Ten,2,0.3893333333333333
gpt-4o,few_shot,Number & Operations in Base Ten,3,0.4
gpt-4o,few_shot,Number & Operations in Base Ten,4,0.24
gpt-4o,few_shot,Number & Operations—Fractions,1,0.8
gpt-4o,few_shot,Number & Operations—Fractions,2,0.8361111111111111
gpt-4o,few_shot,Number & Operations—Fractions,3,0.8138888888888889
gpt-4o,few_shot,Number & Operations—Fractions,4,0.8333333333333334
gpt-4o,few_shot,Operations & Algebraic Thinking,1,0.5
gpt-4o,few_shot,Operations & Algebraic Thinking,2,0.5611111111111111
gpt-4o,few_shot,Operations & Algebraic Thinking,3,0.5166666666666667
gpt-4o,few_shot,Operations & Algebraic Thinking,4,0.4166666666666667
gpt-4o,rule_based,Measurement & Data,1,0.15384615384615385
gpt-4o,rule_based,Measurement & Data,2,0.14102564102564102
gpt-4o,rule_based,Measurement & Data,3,0.1846153846153846
gpt-4o,rule_based,Measurement & Data,4,0.11538461538461539
gpt-4o,rule_based,Number & Operations in Base Ten,1,0.152
gpt-4o,rule_based,Number & Operations in Base Ten,2,0.20533333333333334
gpt-4o,rule_based,Number & Operations in Base Ten,3,0.17600000000000002
gpt-4o,rule_based,Number & Operations in Base Ten,4,0.2
gpt-4o,rule_based,Number & Operations—Fractions,1,0.4416666666666667
gpt-4o,rule_based,Number & Operations—Fractions,2,0.41944444444444445
gpt-4o,rule_based,Number & Operations—Fractions,3,0.425
gpt-4o,rule_based,Number & Operations—Fractions,4,0.2916666666666667
gpt-4o,rule_based,Operations & Algebraic Thinking,1,0.041666666666666664
gpt-4o,rule_based,Operations & Algebraic Thinking,2,0.03611111111111111
gpt-4o,rule_based,Operations & Algebraic Thinking,3,0.047222222222222214
gpt-4o,rule_based,Operations & Algebraic Thinking,4,0.041666666666666664
